user_id,product_id,rating
156,39,4
172,67,2
152,23,4
138,93,5
114,99,3
191,83,3
124,56,1
186,57,3
170,120,3
116,73,3
163,77,5
117,136,2
194,145,4
151,4,2
172,144,3
126,97,5
111,30,3
153,143,5
136,26,2
178,88,1
135,86,3
117,70,1
192,105,2
159,50,2
195,97,5
114,64,2
120,142,5
187,140,1
170,50,4
110,69,2
146,103,4
112,148,4
123,82,2
109,61,1
145,133,3
118,82,3
157,86,1
103,105,5
150,148,4
123,145,1
132,10,2
155,63,1
133,97,4
159,117,3
180,101,4
110,52,1
191,150,4
136,106,5
187,112,5
157,84,1
183,33,1
179,111,4
121,120,1
170,92,1
125,47,1
111,64,4
100,132,3
193,110,3
112,133,1
140,2,2
176,59,3
132,25,3
158,43,1
132,99,4
137,46,1
111,140,2
143,103,2
155,52,4
107,150,5
180,137,3
101,62,2
168,44,2
196,67,3
183,33,5
176,5,2
170,144,1
175,148,1
129,30,4
172,138,1
150,9,3
126,36,1
160,65,1
110,13,3
188,65,5
104,72,1
103,69,2
127,64,4
192,145,5
113,127,2
151,42,3
103,134,3
187,3,1
163,74,5
109,13,5
195,94,1
124,42,3
189,83,4
156,43,2
118,59,3
152,40,5
151,62,5
126,48,3
199,30,1
184,93,5
153,138,1
176,123,4
165,111,3
179,30,3
128,123,5
122,60,2
119,58,5
100,112,1
109,142,3
177,51,5
120,86,5
191,122,1
127,12,1
141,86,3
136,68,5
199,113,5
167,29,4
185,117,4
133,50,5
165,28,1
160,111,4
187,62,3
164,130,3
165,80,1
139,26,2
152,144,1
101,150,1
105,94,3
183,89,3
169,34,4
197,16,4
188,7,5
125,23,2
126,63,2
101,72,1
154,132,5
196,106,3
132,109,4
153,8,3
177,80,1
102,133,4
171,13,2
152,98,5
125,117,3
131,139,5
187,23,5
159,149,2
143,21,3
158,85,5
114,126,5
187,107,4
132,149,3
188,21,2
108,18,3
171,19,2
122,44,5
154,65,4
133,100,2
109,14,4
199,106,1
177,114,1
158,104,3
117,84,1
136,148,3
161,37,1
140,40,2
148,23,3
123,132,1
102,102,3
109,106,5
134,5,3
145,8,4
184,105,1
119,92,1
120,66,4
188,49,1
114,91,2
147,24,1
192,110,1
114,37,2
119,14,5
111,13,5
136,13,2
186,39,4
185,130,2
163,147,3
140,150,3
185,26,4
189,92,3
132,119,5
172,65,5
146,24,5
162,18,3
144,99,3
114,82,5
168,136,5
198,2,2
136,55,5
146,74,5
101,86,5
183,87,2
139,63,5
101,12,1
101,115,2
108,124,4
161,112,3
106,102,3
175,91,2
109,129,5
156,24,1
158,17,2
147,62,1
120,72,5
138,147,1
187,47,2
142,86,5
