product_id,name,category,brand,price,rating
82,Puma Shoes 2,Shoes,Puma,47227,4.7
83,Puma Shoes 3,Shoes,Puma,7162,4.0
84,Puma Shoes 4,Shoes,Puma,20397,4.7
85,Puma Shoes 5,Shoes,Puma,31898,5.0
86,Puma Shoes 6,Shoes,Puma,39051,4.4
87,Puma Shoes 7,Shoes,Puma,13302,4.7
88,Puma Shoes 8,Shoes,Puma,21939,4.8
89,Puma Shoes 9,Shoes,Puma,45187,4.4
90,Puma Shoes 10,Shoes,Puma,15230,4.4
91,Titan Watch 1,Watch,Titan,34348,4.5
92,Titan Watch 2,Watch,Titan,10753,4.1
93,Titan Watch 3,Watch,Titan,19099,3.9
94,Titan Watch 4,Watch,Titan,22006,3.5
95,Titan Watch 5,Watch,Titan,23345,3.5
96,Titan Watch 6,Watch,Titan,9312,4.1
97,Titan Watch 7,Watch,Titan,36984,3.9
98,Titan Watch 8,Watch,Titan,29852,4.8
99,Titan Watch 9,Watch,Titan,40782,3.7
100,Titan Watch 10,Watch,Titan,6811,4.5
101,Fossil Watch 1,Watch,Fossil,6236,3.5
102,Fossil Watch 2,Watch,Fossil,25556,4.6
103,Fossil Watch 3,Watch,Fossil,23105,4.1
104,Fossil Watch 4,Watch,Fossil,41667,4.0
105,Fossil Watch 5,Watch,Fossil,23554,4.4
106,Fossil Watch 6,Watch,Fossil,29943,5.0
107,Fossil Watch 7,Watch,Fossil,4545,4.4
108,Fossil Watch 8,Watch,Fossil,38716,4.3
109,Fossil Watch 9,Watch,Fossil,37415,4.1
110,Fossil Watch 10,Watch,Fossil,43233,3.7
111,Casio Watch 1,Watch,Casio,6414,3.7
112,Casio Watch 2,Watch,Casio,38458,5.0
113,Casio Watch 3,Watch,Casio,8010,4.0
114,Casio Watch 4,Watch,Casio,36678,4.5
115,Casio Watch 5,Watch,Casio,4552,4.1
116,Casio Watch 6,Watch,Casio,27390,3.8
117,Casio Watch 7,Watch,Casio,12657,3.7
118,Casio Watch 8,Watch,Casio,19994,3.6
119,Casio Watch 9,Watch,Casio,47379,4.3
120,Casio Watch 10,Watch,Casio,22629,4.9
121,Sony Electronics 1,Electronics,Sony,11841,3.9
122,Sony Electronics 2,Electronics,Sony,27144,4.6
123,Sony Electronics 3,Electronics,Sony,45222,5.0
124,Sony Electronics 4,Electronics,Sony,33152,4.0
125,Sony Electronics 5,Electronics,Sony,20848,3.5
126,Sony Electronics 6,Electronics,Sony,21915,4.9
127,Sony Electronics 7,Electronics,Sony,45825,4.2
128,Sony Electronics 8,Electronics,Sony,42060,4.3
129,Sony Electronics 9,Electronics,Sony,41515,5.0
130,Sony Electronics 10,Electronics,Sony,21572,4.1
131,LG Electronics 1,Electronics,LG,48961,3.7
132,LG Electronics 2,Electronics,LG,19754,4.6
133,LG Electronics 3,Electronics,LG,17211,3.8
134,LG Electronics 4,Electronics,LG,43221,4.5
135,LG Electronics 5,Electronics,LG,21268,5.0
136,LG Electronics 6,Electronics,LG,11016,3.9
137,LG Electronics 7,Electronics,LG,28431,3.7
138,LG Electronics 8,Electronics,LG,20846,3.6
139,LG Electronics 9,Electronics,LG,6069,4.4
140,LG Electronics 10,Electronics,LG,31389,3.5
141,Boat Electronics 1,Electronics,Boat,10418,4.3
142,Boat Electronics 2,Electronics,Boat,21028,4.0
143,Boat Electronics 3,Electronics,Boat,48078,4.8
144,Boat Electronics 4,Electronics,Boat,25747,4.8
145,Boat Electronics 5,Electronics,Boat,7747,4.5
146,Boat Electronics 6,Electronics,Boat,32298,4.2
147,Boat Electronics 7,Electronics,Boat,49907,4.0
148,Boat Electronics 8,Electronics,Boat,10410,3.8
149,Boat Electronics 9,Electronics,Boat,26664,4.5
150,Boat Electronics 10,Electronics,Boat,42602,4.0
